Date/Time,(A)OAT1emp,(A)OA2Temp,(A)PreCoilTemp,(A)CoilTemp,(A)SaTemp,(A)RATemp,(A)EATemp,(O)DBUnitTemp,(F)PreCoilInTemp,(F)PreCoilOutTemp,(F)CoilInTemp,(F)CoilOutTemp,(F)CompInTemp,(F)CompOutTemp,(F)WatHxInTemp,(F)WatHxOutTemp,(W)WatHxInTemp,(W)WatHxOutTemp,(O)CompCaseTemp,NaN,(W)PanelInTemp,NaN.1,(I)IndoorATemp,(I)IndoorBTemp,(A)OA1Hum,(A)OA2Hum,(A)PreCoilHum,(A)CoilHum,(A)SAHum,(A)RAHum,(A)EAHum,(O)DBUnitHum,(I)IndoorAHum,(I)IndoorBHum,(Flow rate 1),(Flow rate 2),(F)CompLowP,(F)CompHiP,NaN.2,NaN.3,A.hum0,Enthalpy0,DewPoint0,SpecificVolume0,THCapa0,SHCapa0,LHCapa0,WaterMass0,A.hum1,Enthalpy1,DewPoint1,SpecificVolume1,THCapa1,SHCapa1,LHCapa1,WaterMass1,A.hum2,Enthalpy2,DewPoint2,SpecificVolume2,THCapa2,SHCapa2,LHCapa2,WaterMass2,A.hum3,Enthalpy3,DewPoint3,SpecificVolume3,THCapa3,SHCapa3,LHCapa3,WaterMass3,A.hum4,Enthalpy4,DewPoint4,SpecificVolume4,THCapa4,SHCapa4,LHCapa4,WaterMass4,A.hum5,Enthalpy5,DewPoint5,SpecificVolume5,THCapa5,SHCapa5,LHCapa5,WaterMass5,A.hum6,Enthalpy6,DewPoint6,SpecificVolume6,THCapa6,SHCapa6,LHCapa6,WaterMass6,PreCoil_TH,PreCoil_SH,PreCoil_LH,PreCoil_W,Coil_TH,Coil_SH,Coil_LH,Coil_W,TCoil_TH,TCoil_SH,TCoil_LH,TCoil_W
2019-04-09 09:52:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-inf,0.7738373871206513,0.0,0.0,0.0,0.0,0.0,0.0,-inf,0.7738373871206513,0.0,0.0,0.0,0.0,0.0,0.0,-inf,0.7738373871206513,0.0,0.0,0.0,0.0,0.0,0.0,-inf,0.7738373871206513,0.0,0.0,0.0,0.0,0.0,0.0,-inf,0.7738373871206513,0.0,0.0,0.0,0.0,0.0,0.0,-inf,0.7738373871206513,0.0,0.0,0.0,0.0,0.0,0.0,-inf,0.7738373871206513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-09 10:21:38,385,280,206,104,115,249,321,292,213,187,93,200,213,490,449,254,187,242,473,0,185,0,238,225,507,685,989,940,865,470,459,711,453,463,0,0,69,29,0,0,0.021954719962719558,95.1654430037709,26.45174923644396,0.9140739765049336,6.073159997158435,2.5690555494985516,3.5041044476598837,5.043892847491237,0.016323605658830967,69.81833278273356,21.662389392240698,0.8755530488003157,4.651615438462879,1.9316454276915316,2.7199700107713474,3.915190739215055,0.015095386269134826,59.03845280675144,20.420728877902036,0.8523951796503118,4.0402736069827805,1.4566233067961152,2.5836503001866653,3.718968844730907,0.007365209535456753,29.021048761576935,9.477022200937256,0.812813231488646,2.0827595387337583,0.7607797125576372,1.321979826176121,1.9028897937761038,0.00729106743019882,29.9553039751096,9.328495996197034,0.8158703185572046,2.1417530361583745,0.8379845879424535,1.303768448215921,1.876675895072898,0.009225430649094606,48.536834421193845,12.824236348027455,0.8569037823607119,3.304122819292763,1.7334523650134508,1.5706704542793122,2.260861109718323,0.013784326055987116,67.5658702098707,18.99047994537227,0.8839426609468136,4.458821372743173,2.183766223769293,2.2750551489738795,3.2747695067196982,0.6113418314800985,0.4750221208954164,0.13631971058468206,0.19622189448414806,1.9575140682490222,0.695843594238478,1.2616704740105442,1.816079050954803,2.5688558997291207,1.1708657151338944,1.3979901845952263,2.012300945438951
2019-04-09 10:21:48,383,280,208,101,114,251,322,292,213,188,94,201,213,489,443,250,188,237,484,0,186,0,239,235,514,690,989,933,861,473,465,707,424,488,0,0,66,30,0,0,0.02202128753414997,95.12740476207617,26.50135416311764,0.9135818082937702,6.074002963658783,2.557380465994129,3.5166224976646543,5.061911631984309,0.016445906546540497,70.13038838975993,21.781368614694657,0.8757208105722846,4.671510912322116,1.9316871157960542,2.739823796526062,3.9437687594937323,0.015287140158891866,59.73187792751399,20.620452172706223,0.8532322765569837,4.083717460656734,1.4698145204780333,2.6139029401787006,3.7625152277662224,0.007162861692156545,28.205499642162383,9.068449513888197,0.8116921981115621,2.0270255354029327,0.739589444723754,1.2874360906791789,1.853166703896458,0.00720849424975182,29.64517330480645,9.161482020054905,0.8154766730289177,2.120602383009411,0.8309772164829337,1.2896251665264775,1.8563177127130426,0.009398242958224952,49.18139773486447,13.103627596137244,0.8577135553376348,3.3448403024687643,1.7462584444800973,1.598581857988667,2.301037460519473,0.014049475458373347,68.34750768450786,19.289337969279813,0.8846010223337138,4.507046507525847,2.1899551424185693,2.3170913651072778,3.3352774547725703,0.587793451665382,0.46187259531802094,0.12592085634736128,0.1812535317275099,2.0566919252538014,0.7302250757542793,1.3264668494995218,1.9093485238697643,2.6444853769191834,1.1920976710723004,1.452387705846883,2.090602055597274
2019-04-09 10:21:59,381,281,206,101,113,251,322,291,213,188,96,201,216,489,448,248,188,235,478,0,185,0,237,233,518,691,988,938,861,481,466,704,450,436,0,0,62,29,0,0,0.021951812634791852,94.73972053041538,26.449579631505514,0.9128966489237422,6.053789006809261,2.545630076201006,3.508158930608255,5.049728968488491,0.016569156044122794,70.54845514548704,21.900464977471188,0.876180721937597,4.6968923729030765,1.937984615618145,2.7589077572849314,3.9712386750202935,0.015079752932212545,58.99877253674204,20.404345124183294,0.8523742621352288,4.037657185966601,1.4566192711298303,2.58103791483677,3.7152085139593662,0.007201692335255378,28.303322982591578,9.147648201481957,0.8117422966469489,2.0339302027310646,0.7395946704433679,1.2943355322876968,1.8630979273233537,0.00716031956677536,29.42180469454891,9.063251235856399,0.8151276710101077,2.105525307941694,0.8239702919424295,1.2815550159992646,1.84470134250194,0.009559641538614244,49.592367827801915,13.36044036860153,0.8579328159843143,3.3719285116392332,1.7463093363146367,1.6256191753245965,2.339955630215333,0.01408037336646103,68.42657916995111,19.32383290238147,0.884643996506841,4.512041530086408,2.1899671749409277,2.32207435514548,3.342450091372943,0.6592351869364759,0.4813653444883148,0.17786984244816129,0.25603016106092724,2.003726983235536,0.7170246006864623,1.2867023825490733,1.8521105866360126,2.662962170172012,1.1983899451747773,1.4645722249972346,2.1081407476969396
2019-04-09 10:22:09,379,281,207,104,114,252,322,296,213,187,99,204,219,487,447,261,186,233,461,0,182,0,259,207,526,694,989,955,875,469,465,697,411,464,0,0,65,30,0,0,0.02205446982151586,94.79436427686616,26.52603005013924,0.912455494101424,6.060209276211787,2.533940454871331,3.526268821340456,5.0757967840166485,0.01664301645889555,70.73692628000119,21.97145361293167,0.8762820709043817,4.708895499149146,1.9380098560786463,2.7708856430705,3.9884799340479002,0.015190990425550084,59.384455625065804,20.520590557012213,0.8528133193153479,4.06195959459983,1.4632209711457427,2.598738623454087,3.7406873428367504,0.0074841536877359475,29.320760906053785,9.7125287126824,0.8129668534391268,2.103871409128581,0.7607961650712483,1.3430752440573328,1.93325504942279,0.007327086317858742,29.944212336127293,9.400819183472663,0.8156303804232811,2.141589820012505,0.8309951433304132,1.310594676682092,1.8865017337287209,0.009374059514363126,49.2221113164925,13.064807765327885,0.8579682730931986,3.3466153899183824,1.7526203566843241,1.5939950332340582,2.2944350738275126,0.014049475458373347,68.34750768450786,19.289337969279813,0.8846010223337138,4.507046507525847,2.1899551424185693,2.3170913651072778,3.3352774547725703,0.6469359045493164,0.4747888849329036,0.17214701961641277,0.24779259121114983,1.9580881854712486,0.7024248060744944,1.2556633793967542,1.8074322934139604,2.605024090020565,1.177213691007398,1.427810399013167,2.05522488462511
2019-04-09 10:22:20,376,281,207,105,114,252,323,291,213,186,101,205,220,488,448,270,186,236,479,0,183,0,242,237,535,689,988,967,889,468,460,685,455,482,0,0,68,31,0,0,0.02207060040939439,94.52205913248014,26.538013300953594,0.9115982853282658,6.048483056045348,2.5163168268152507,3.5321662292300973,5.084285655829009,0.016519925258409854,70.42283194035222,21.852989408837004,0.8761131689827244,4.688890288709818,1.937967788644416,2.7509225000654016,3.9597445022932605,0.015175255718984107,59.344515220235515,20.50419416770029,0.8527922589999374,4.0593278741843335,1.4632168922064608,2.5961109819778727,3.7369050520273266,0.007630737574628959,29.792096228030182,9.998199556447503,0.8134429503994484,2.1364402741643156,0.7678611720749805,1.3685791020893352,1.9699659206403861,0.007445723099847445,30.243364116944022,9.636805389777464,0.8157841457713876,2.1625772568635577,0.8310130701777628,1.331564186685795,1.9166857545257343,0.009353771597096988,49.17044841920512,13.032171865169516,0.8579407026317375,3.343210257991623,1.752613933870648,1.5905963241209753,2.2895428895783727,0.013975450994580793,68.26119269360711,19.206417164851473,0.8847877328062266,4.500404740578767,2.196008146436286,2.3043965941424807,3.3170042938476336,0.6295624145254841,0.4747508964379552,0.1548115180875289,0.22283945026593388,1.922887600020018,0.6953557201314803,1.2275318798885375,1.7669391313869405,2.552450014545502,1.1701066165694356,1.3823433979760664,1.9897785816528744
2019-04-09 10:22:30,371,282,207,105,114,252,323,291,214,186,100,204,218,491,451,269,185,239,477,0,185,0,244,235,520,693,988,977,897,491,459,675,477,478,0,0,71,29,0,0,0.02083661976528623,90.83032069387313,25.597440719030033,0.9083876981233949,5.832790761868651,2.486324058788883,3.346466703079768,4.816985258331534,0.01671801376980664,71.03191605718334,22.043244323538147,0.8766758960606268,4.726408533972606,1.9442869960209086,2.7821215379516975,4.004653153389089,0.015175255718984107,59.344515220235515,20.50419416770029,0.8527922589999374,4.0593278741843335,1.4632168922064608,2.5961109819778727,3.7369050520273266,0.007710627286183016,29.993414506385108,10.151832869653276,0.8135461680974045,2.150604249415282,0.7678723161342288,1.3827319332810535,1.9903378487852028,0.007513535632051525,30.414358638461593,9.770188454144261,0.8158720377172544,2.174570077853038,0.8310233140904757,1.3435467637625622,1.9339337663115643,0.009820723815533998,50.35953570612391,13.767756392288959,0.8585752718668963,3.4215282912464846,1.7527616585832049,1.6687666326632797,2.4020631257848097,0.013944388447738766,68.18169427088051,19.171503649107308,0.8847445154975252,4.495383050663084,2.195996012198065,2.299387038465019,3.3097934180224167,0.6670806597882724,0.4810701038144478,0.18601055597382476,0.26774810136176264,1.9087236247690513,0.695344576072232,1.2133790486968192,1.7465672032421238,2.5758042845573237,1.1764146798866797,1.399389604670644,2.0143153046038864
2019-04-09 10:22:40,368,281,207,105,114,251,321,290,213,186,98,203,217,494,452,267,187,242,478,0,185,0,239,234,528,687,987,977,895,485,455,664,475,486,0,0,71,29,0,0,0.02081321068702295,90.45713663491921,25.579113089019984,0.9074762727624823,5.814660352100144,2.4685960119595323,3.3460643401406114,4.816406087367533,0.01647070206329004,70.29722810428949,21.80539322495804,0.876045626443428,4.680888204493187,1.937950961670638,2.742937242822549,3.948250329532658,0.01515952178952469,59.30457678798415,20.487783252648285,0.8527711997246548,4.056696153766373,1.4632128132671753,2.5934833404991973,3.733122761214359,0.007710627286183016,29.993414506385108,10.151832869653276,0.8135461680974045,2.150604249415282,0.7678723161342288,1.3827319332810535,1.9903378487852028,0.007496581129175747,30.371606553963595,9.736941244699665,0.8158500629553553,2.1715718726103215,0.8310207531123015,1.34055111949802,1.9296217633718,0.009640371776381091,49.79793167624395,13.487441755342616,0.8580424883500604,3.3854726161250155,1.7463347822317192,1.6391378338932963,2.3594147149203777,0.013661562711977231,67.25172611696837,18.850353191406498,0.8837719721919475,4.438947466384587,2.1837184977874036,2.255228968597183,3.2462312222910286,0.6241920507268146,0.47473814840346273,0.14945390232335187,0.21512756831829893,1.9060919043510904,0.6953404971329465,1.2107514072181438,1.7427849124291561,2.530283955077905,1.1700786455364094,1.3602053095414957,1.957912480747455
2019-04-09 10:22:50,366,282,206,103,113,251,323,289,213,187,95,202,216,497,456,264,188,245,480,0,186,0,242,235,530,691,986,972,890,496,461,669,501,493,0,0,71,28,0,0,0.020660156271085073,89.85552273772046,25.458818906178635,0.9066747674614356,5.781094112033182,2.4566995880501494,3.324394523983033,4.785214028923998,0.01666847252697601,70.9054917100626,21.995853982793733,0.8766078945405134,4.7183623474609595,1.9442700162223348,2.7740923312386245,3.993095718696141,0.015048488560034956,58.9194178387752,20.371534042508756,0.8523324301847095,4.032424343926927,1.4566111997972482,2.5758131441296785,3.7076878524057753,0.007567654373937479,29.429197635510697,9.875866423891011,0.8127879502285081,2.11211693643115,0.7537580815039419,1.358358854927208,1.9552546492354852,0.007404362805769077,30.03713446319633,9.554917883626104,0.815443864734691,2.1487269115573793,0.8240068700499397,1.3247200415074396,1.9068341261202648,0.009862486390740745,50.36350334041831,13.832008195643994,0.8583442319828979,3.422718903119051,1.7464047585030547,1.6763141446159961,2.4129271973680866,0.014006516576151373,68.34069888311907,19.241264283834937,0.8848309543371446,4.505426430485123,2.1960202806744853,2.3094061498106377,3.3242151696594546,0.6859380035340328,0.48765881642508657,0.198279187108946,0.28540786629036585,1.9203074074957769,0.7028531182933063,1.2174542892024705,1.75243320317029,2.6062454110298097,1.1905119347183928,1.4157334763114164,2.037841069460656
2019-04-09 10:23:01,366,283,206,101,112,252,323,287,213,187,93,201,215,499,458,260,189,244,487,0,186,0,245,233,540,693,986,963,884,498,463,676,477,471,0,0,71,28,0,0,0.021063171487007683,90.8900881869524,25.773854245977645,0.9072433758811013,5.843990655491322,2.456871746476453,3.3871189090148692,4.875501028569984,0.016818170250383273,71.39114115985352,22.13866607630348,0.877104335088858,4.7479907095692235,1.950568795261169,2.7974219143080545,4.026676885849259,0.015048488560034956,58.9194178387752,20.371534042508756,0.8523324301847095,4.032424343926927,1.4566111997972482,2.5758131441296785,3.7076878524057753,0.00739591747166247,28.792620870094982,9.538147047262783,0.8119928821148363,2.0684535391259833,0.7396207990412508,1.3288327400847324,1.912754044104373,0.00730465919044595,29.68382362549938,9.355824671927053,0.8150280556419613,2.1245359177117655,0.8169871819976949,1.3075487357140707,1.8821173324952631,0.009962976842769908,50.72178104843778,13.985619302836994,0.8587685879946027,3.4453642139708376,1.7528066182775006,1.692557595693337,2.436308414432632,0.01406865684525728,68.49973456705223,19.310760415397283,0.8849174100681056,4.515469810269846,2.196044549150815,2.319425261119031,3.3386369212429083,0.7155663656422968,0.4939575954639208,0.221608770178376,0.3189890334434837,1.9639708048009434,0.7169904007559974,1.2469804040449461,1.7949338083014021,2.6795371704432402,1.210947996219918,1.4685891742233221,2.113922841744886
