Date/Time,(A)OAT1emp,(A)OA2Temp,(A)PreCoilTemp,(A)CoilTemp,(A)SaTemp,(A)RATemp,(A)EATemp,(O)DBUnitTemp,(F)PreCoilInTemp,(F)PreCoilOutTemp,(F)CoilInTemp,(F)CoilOutTemp,(F)CompInTemp,(F)CompOutTemp,(F)WatHxInTemp,(F)WatHxOutTemp,(W)WatHxInTemp,(W)WatHxOutTemp,(O)CompCaseTemp,NaN,(W)PanelInTemp,NaN.1,(I)IndoorATemp,(I)IndoorBTemp,(A)OA1Hum,(A)OA2Hum,(A)PreCoilHum,(A)CoilHum,(A)SAHum,(A)RAHum,(A)EAHum,(O)DBUnitHum,(I)IndoorAHum,(I)IndoorBHum,(Flow rate 1),(Flow rate 2),(F)CompLowP,(F)CompHiP,NaN.2,NaN.3,Ahum0,Enthalpy0,DewPoint0,SpecificVolume0,THCapa0,SHCapa0,LHCapa0,WaterMass0,Ahum1,Enthalpy1,DewPoint1,SpecificVolume1,THCapa1,SHCapa1,LHCapa1,WaterMass1,Ahum2,Enthalpy2,DewPoint2,SpecificVolume2,THCapa2,SHCapa2,LHCapa2,WaterMass2,Ahum3,Enthalpy3,DewPoint3,SpecificVolume3,THCapa3,SHCapa3,LHCapa3,WaterMass3,Ahum4,Enthalpy4,DewPoint4,SpecificVolume4,THCapa4,SHCapa4,LHCapa4,WaterMass4,Ahum5,Enthalpy5,DewPoint5,SpecificVolume5,THCapa5,SHCapa5,LHCapa5,WaterMass5,Ahum6,Enthalpy6,DewPoint6,SpecificVolume6,THCapa6,SHCapa6,LHCapa6,WaterMass6,PreCoil_TH(kW),PreCoil_SH(kW),PreCoil_LH(kW),PreCoil_W(L/hr),Coil_TH(kW),Coil_SH(kW),Coil_LH(kW),Coil_W(kg/h),TCoil_TH(kW),TCoil_SH(kW),TCoil_LH(kW),TCoil_W(kg/h),ReHeat_TH(kW),ReHeat_SH(kW),ReHeat_LH(kW),SHE(%),THE(%),oaTemp,hxTemp,preTemp,evaTemp,condTemp,tempDiff
2019-04-10 10:12:53,366,310,214,116,126,256,329,283,226,177,108,213,228,546,505,218,178,241,545,0,175,0,245,240,614,596,960,953,896,437,435,673,439,508,0,0,77,32,0,0,0.024061267688345152,98.58639001584638,27.95891230951196,0.9114733470476872,6.008976219971102,2.341091160671318,3.6678850592997843,5.279642628340353,0.016897963522098287,74.39333231764682,22.21432046705678,0.8850708474491824,4.6696407620331595,2.0168834595108427,2.652757302522317,3.8184431383767854,0.01539861605037764,60.63514108417242,20.735525013114852,0.8551234248454788,3.9393365346404834,1.4372975421761558,2.5020389924643274,3.6014955509282602,0.00809650814809734,32.088491565996314,10.87443322642764,0.8172016077538514,2.1814616601019314,0.8048554274375527,1.3766062326643786,1.9815203668899493,0.008131205940004584,33.19667407264499,10.93788902016911,0.820116660790504,2.24877722752862,0.8711855433061441,1.3775916842224758,1.9829388497404692,0.008938420276336519,48.52161563524659,12.349688651419797,0.8585257474762858,3.1398537795672974,1.6932532050855866,1.4466005744817108,2.082271918486269,0.013663252702887251,68.08058044005563,18.85228989157281,0.8860905199951826,4.268474138412565,2.125992063198574,2.1424820752139913,3.0839406120633215,0.7303042273926761,0.5795859173346869,0.1507183100579894,0.21694758744852516,1.757874874538552,0.6324421147386031,1.1254327597999487,1.619975184038311,2.488179101931228,1.21202803207329,1.2761510698579381,1.8369227714868361,0.06731556742668854,0.06633011586859139,0.0009854515580971501,50.04456722010809,46.68101434351622,36.6,31.0,21.4,11.6,12.6,1.0
2019-04-10 10:13:03,366,306,211,115,125,253,325,278,220,177,106,211,226,548,504,218,177,241,545,0,174,0,251,239,618,597,942,949,893,433,435,666,422,510,0,0,77,31,0,0,0.024224123563225,99.00445130658306,28.070358833153477,0.9117031180786312,6.032936803377031,2.3411567448211885,3.6917800585558425,5.314037669252713,0.01653496773148203,73.0508301691495,21.867509118370947,0.883404629795317,4.594021037428746,1.9933533163529586,2.600667721075787,3.743464132696055,0.01482089799382187,58.8581271930922,20.130815023421633,0.853478172678071,3.831259029052149,1.418448129087734,2.412810899964415,3.4730584725597335,0.008008217922141658,31.763783606795144,10.711862847830048,0.816800145265438,2.1604484953274428,0.7981845478590945,1.3622639474683482,1.9608757340607972,0.008049904880903434,32.88943808601487,10.788820569778238,0.8197238740332372,2.2290323152214513,0.8645611842239928,1.3644711309974586,1.9640528075133348,0.00869682355953642,47.59970921548216,11.939531073284797,0.857335199329734,3.0844741844455084,1.6750192607985457,1.4094549236469627,2.0288035686241765,0.013352699695715502,66.87340468488438,18.49272868610683,0.8845000657852365,4.200326594506235,2.1027762235996827,2.097550370906552,3.0192648281741654,0.7627620083765971,0.5749051872652247,0.18785682111137225,0.2704056601363214,1.6708105337247061,0.6202635812286394,1.0505469524960667,1.5121827384989364,2.4335725421013032,1.195168768493864,1.238403773607439,1.7825883986352578,0.06858381989400852,0.06637663636489821,0.0022071835291104236,52.21195876381694,48.80223872296288,36.6,30.6,21.1,11.5,12.5,1.0
2019-04-10 10:13:14,365,303,209,114,125,252,325,281,218,177,105,209,224,549,504,218,176,239,542,0,174,0,247,241,614,603,938,942,886,435,440,668,438,473,0,0,77,32,0,0,0.023925018617604585,98.13171160170342,27.865143344655337,0.9109869162699517,5.98445670106054,2.335393952983718,3.649062748076822,5.2525493374956245,0.016413841956023415,72.4305163693524,21.750252377946026,0.8823647125895842,4.560379079831568,1.9757197895870688,2.5846592902444994,3.7204212094682925,0.0145719504915377,58.0195677256538,19.863661618904644,0.8525646348727028,3.780721350907492,1.4058966365080225,2.3748247143994696,3.4183802366405804,0.007895253550798233,31.37688976286116,10.501504865668494,0.8163667830034188,2.1352663761845827,0.7915056534273291,1.3437607227572537,1.9342417440728157,0.007985993527253458,32.72815379061956,10.670688104666624,0.8196407181899166,2.2183265494189786,0.8645511581333825,1.353775391285596,1.9486571006110136,0.00868500101959447,47.467433506383045,11.919199298567548,0.8570318703848688,3.0769913352921923,1.6689542676332292,1.408037067658963,2.026762672359963,0.013509512599510646,67.27479279424492,18.6752178143596,0.8847183823680449,4.224495119639504,2.102834984320463,2.1216601353190407,3.053969007256516,0.779657728924076,0.5698231530790463,0.20983457584502974,0.30204097282771203,1.6454549747229095,0.6143909830806934,1.031063991642216,1.4841384925677648,2.4251127036469855,1.1842141361597398,1.2408985674872457,1.7861794653954768,0.08306017323439585,0.07304550470605331,0.01001466852834243,53.96949961158032,48.980037320328826,36.5,30.3,20.9,11.4,12.5,1.0999999999999996
2019-04-10 10:13:24,364,301,208,113,124,251,326,278,216,177,104,206,222,550,506,218,176,238,537,0,174,0,249,240,611,608,939,937,877,436,444,674,429,496,0,0,76,30,0,0,0.023668811722871306,97.36918638671723,27.687490106400844,0.9103314721096454,5.942230285821618,2.3296452041774187,3.6125850816441996,5.20004250056742,0.016359928253747665,72.08562364461315,21.697809280637387,0.8817086874808469,4.5420408418423,1.9639544799368345,2.5780863619054655,3.7109599771530086,0.014496268968062323,57.7242166112608,19.78163008322042,0.8521733648540489,3.763202483331623,1.3996270404056101,2.3635754429260127,3.4021877627083748,0.007800283481386678,31.03540746897618,10.322561364951866,0.8159568379011649,2.1130888592919144,0.7848249064849795,1.3282639528069349,1.9119353179148206,0.007851419091174398,32.286529609125836,10.419152211489063,0.8191787442313935,2.18962723584685,0.8579141373248721,1.3317130985219778,1.9169001018309155,0.008652846339449632,47.28339022479547,11.863775799165523,0.8567009309126169,3.0662450777196306,1.6628791140370203,1.4033659636826104,2.0200389721141128,0.013713724924155608,67.90058275102527,18.91003103828598,0.8852922366728355,4.2610275353326506,2.1086920556814266,2.152335479651224,3.0981238411612977,0.7788383585106771,0.5643274395312243,0.21451091897945274,0.3087722144446339,1.6501136240397085,0.6148021339206307,1.0353114901190779,1.4902524447935541,2.4289519825503856,1.179129573451855,1.2498224090985306,1.799024659238188,0.07653837655493545,0.0730892308398926,0.003449145715042956,54.8454292514459,48.68555791020136,36.4,30.1,20.8,11.3,12.4,1.0999999999999996
2019-04-10 10:13:34,363,299,208,111,122,251,324,280,216,177,102,205,221,551,508,218,178,241,545,0,175,0,248,240,588,607,941,930,872,444,445,672,436,507,0,0,76,30,0,0,0.022616534903215517,94.56362308460304,26.93895361521976,0.908554185457293,5.782301925302423,2.3235738409625606,3.458728084339862,4.978577010645143,0.016141045214691018,71.3192782216565,21.483281029727095,0.8808250422425672,4.498262348828896,1.9521170276218598,2.546145321207036,3.6649832692304396,0.014527866124252017,57.804427382523215,19.815925188737083,0.8522156708564127,3.7682445730898997,1.399634892903013,2.3686096801868866,3.409434165802796,0.007637955484957455,30.42215692499746,10.012139055968134,0.8151729576616427,2.0733266643372277,0.7714538880456114,1.3018727762916162,1.8739472189723385,0.007702789034267231,31.707498492025948,10.136822536485738,0.8184118079170791,2.1523732636319908,0.8446456225036051,1.3077276411283858,1.8823748532835618,0.008813864006235392,47.69339039532922,12.139486923697348,0.8569196740865723,3.0920433733358617,1.6629275824530625,1.4291157908827992,2.057103897312305,0.013587915858630475,67.37242605767923,18.765745035841746,0.8845380457723511,4.231488488990615,2.097080105813886,2.1344083831767287,3.0723191441168436,0.7300177757389963,0.5524821347188469,0.17753564102014963,0.2555491034276436,1.694917908752672,0.6281810048574015,1.0667369038952703,1.5354869468304575,2.4249356844916683,1.1806631395762484,1.24427254491542,1.791036050258101,0.0790465992947631,0.07319173445799365,0.005854864836769558,56.22627973081307,47.72922571084858,36.3,29.9,20.8,11.1,12.2,1.0999999999999996
2019-04-10 10:13:44,361,296,207,109,120,249,321,282,215,176,101,203,219,550,505,218,177,240,539,0,174,0,247,238,571,600,943,923,867,447,440,676,437,492,0,0,75,29,0,0,0.02169202184804397,91.98180963158744,26.254646325578335,0.9066647029077439,5.63615250345547,2.311896121920892,3.3242563815345783,4.7850151833364585,0.01567042946444676,69.8065837960078,21.01298978324644,0.8793041023906955,4.410469067161824,1.9342846501625122,2.4761844169993115,3.564279848539594,0.014467997355841488,57.549236406164546,19.75088734119265,0.8518456201705381,3.7532385266034525,1.3933650856522175,2.359873440951235,3.3968590113652324,0.007478456968694916,29.816155780336572,9.701325927287371,0.8143930340287282,2.033972577974132,0.758065239134659,1.275907338839473,1.83657193915318,0.007556595206166613,31.134720462788266,9.85432619658502,0.8176483066604951,2.115465388097889,0.831359600487749,1.2841057876101398,1.8483729849646153,0.008767609532991596,47.371247268667524,12.060749956339862,0.8562822475266584,3.073444494466744,1.6507703246050058,1.422674169861738,2.0478316719321303,0.013201622112990159,66.07476549062609,18.31508111916355,0.8831324760232282,4.156590777370793,2.0795614527163737,2.0770293246544194,2.989726336967576,0.6572305405583712,0.5409195645102947,0.1163109760480765,0.16742083717436174,1.7192659486293205,0.6352998465175586,1.083966102111762,1.5602870722120523,2.3764964891876916,1.1762194110278532,1.2002770781598384,1.727707909386414,0.08149281012375686,0.07329436135309009,0.008198448770666777,57.116432801661944,47.82766635896671,36.1,29.6,20.7,10.9,12.0,1.0999999999999996
2019-04-10 10:13:55,360,293,205,108,119,250,319,280,214,176,100,202,218,550,506,219,177,239,532,0,174,0,248,241,559,601,941,919,865,448,444,673,434,461,0,0,75,29,0,0,0.021100516257785976,90.35950270715367,25.80276856072885,0.905538590867435,5.543631627903244,2.3060009642331214,3.237630663670122,4.660324026074545,0.015421431974373716,68.86038693002138,20.758984467873063,0.8780897577442737,4.356703876714592,1.9164951402847417,2.4402087364298506,3.5124955822260953,0.014255614897361673,56.80378624854117,19.51819534978881,0.8509817650574567,3.7083825203747582,1.3807903515882416,2.3275921687865164,3.3503925660261733,0.007395683644622758,29.505576252169796,9.537682467386333,0.8139992699549385,2.0137593990309632,0.7513637271701534,1.2623956718608098,1.817122918312241,0.00748878168104223,30.861698270404567,9.721624200910469,0.817273515759991,2.0978763654244768,0.8247106624216685,1.2731657030028083,1.8326255620992038,0.008840808832119778,47.659804387680964,12.185183564746865,0.8566689505713319,3.090770254555,1.656865978230774,1.4339042763242262,2.063996559283173,0.013171185207227157,65.79092446191466,18.279070091337644,0.8825115556468239,4.14164702502546,2.06794838665268,2.07369863837278,2.9849320664302303,0.6483213563398338,0.5357047886965001,0.11261656764333416,0.16210301619992196,1.694623121343795,0.6294266244180882,1.0651964969257066,1.5332696477139323,2.342944477683629,1.1651314131145882,1.1778130645690408,1.6953726639138542,0.08411696639351351,0.07334693525151503,0.010770031141998482,60.003825451948636,48.38951618241894,36.0,29.3,20.5,10.8,11.9,1.0999999999999996
2019-04-10 10:14:05,360,290,204,106,118,249,317,278,212,176,99,200,217,551,506,219,178,240,547,0,175,0,248,241,569,599,941,916,859,444,441,670,435,460,0,0,75,29,0,0,0.021491027778557915,91.36154745922404,26.102368453732765,0.9060884907532745,5.601706210055515,2.3061573252557537,3.2955488847997616,4.7436929169448785,0.015098372537815681,67.72535402756898,20.423856750349273,0.8767741644818872,4.291321323800258,1.8986470534290134,2.392674270371244,3.444073320006589,0.014165890431783568,56.47290838736984,19.418951380106193,0.8505720002535957,3.6885575805022057,1.374500950942093,2.314056629560113,3.330909182893405,0.007272532138633621,28.99134823613116,9.291153948349063,0.813266761958227,1.9804454490242296,0.737952843924111,1.2424926051001186,1.7884739617594676,0.007386697267269014,30.502259130535364,9.519817899207908,0.8168543056351844,2.074506971446658,0.8180521287658591,1.256454842680799,1.808571544842414,0.008707942692685598,47.219338804758095,11.958630600487254,0.8562012442299914,3.063878519148324,1.6507524955142665,1.4131260236340577,2.0340878388974835,0.012929931726443125,64.96779054632374,17.99095644091591,0.8815979578622412,4.094067669768786,2.05624287172636,2.037824798042426,2.933294391424523,0.6027637432980519,0.5241461024869205,0.0786176408111312,0.11316413711318418,1.7081121314779761,0.6365481070179819,1.0715640244599942,1.5424352211339374,2.310875874776028,1.1606942095049024,1.1501816652711254,1.6555993582471216,0.0940615224224286,0.08009928484174811,0.013962237580680492,62.1768795917289,51.63411570258489,36.0,29.0,20.4,10.6,11.8,1.200000000000001
2019-04-10 10:14:15,359,288,203,105,117,249,316,277,211,176,98,199,215,549,506,220,176,237,552,0,174,0,245,243,563,602,940,914,863,440,444,667,410,473,0,0,75,28,0,0,0.021136287010245083,90.34687464274333,25.83042060916506,0.9052960328891948,5.544341995476392,2.3003537865760215,3.2439882089003707,4.669475230724244,0.014996965819216189,67.25981378500582,20.31732804149624,0.8760543371178919,4.265324835537416,1.886767940358318,2.3785568951790976,3.4237524280866665,0.014061377077998137,56.104534020276816,19.302633214191474,0.8501425497591498,3.6663481407501437,1.3682038744976126,2.298144266252531,3.308004541587009,0.007207660307569298,28.725961611210018,9.159786565969398,0.812896333560885,1.963210670649192,0.7312401033905307,1.2319705672586614,1.7733282855382573,0.007372046357547237,30.363374501227504,9.490650745753612,0.816548630706351,2.065834263291679,0.811402075116895,1.2544321881747837,1.8056600869369135,0.008628404463456104,47.016838887511526,11.821523021392977,0.8560932636708468,3.0511238853364446,1.65072872339318,1.4003951619432646,2.015762728107058,0.012944588788138206,64.90235001443148,18.00859780299811,0.8813291127572531,4.091191428628075,2.050434267999665,2.0407571606284094,2.937515305182837,0.5989766947872721,0.5185640658607054,0.08041262892656675,0.1157478864996575,1.7031374701009516,0.6369637711070819,1.0661736989938695,1.5346762560487517,2.3021141648882235,1.1555278369677873,1.1465863279204362,1.6504241425484092,0.10262359264248677,0.0801619717263643,0.02246162091612236,63.665315526980656,51.29985037158195,35.9,28.8,20.3,10.5,11.7,1.1999999999999993
2019-04-10 10:14:25,359,287,203,104,115,248,315,282,210,176,97,197,214,550,506,221,177,238,554,0,174,0,243,240,582,605,941,912,858,427,448,673,381,508,0,0,75,28,0,0,0.021874676213753896,92.24143329191165,26.391920569485023,0.9063354613728777,5.654114056191139,2.3006485200217384,3.3534655361694004,4.827059548264631,0.014984325316089073,67.12423811205079,20.304003587473176,0.8757468254135595,4.258221932802724,1.8808353457196025,2.3773865870831212,3.4220678582563924,0.014076674540432264,56.143353495794344,19.31970706553159,0.850162996968194,3.6687966958499447,1.3682075963236702,2.3005890995262748,3.311523693840299,0.007143300679305609,28.46188903929525,9.028407513729121,0.8125266257946487,1.9460482986538445,0.7245228582843593,1.2215254403694853,1.7582933168053372,0.007231378582475243,29.804783175696315,9.207938926507154,0.8157929285457348,2.02970782118744,0.7980718942854964,1.2316359269019435,1.7728465961003579,0.008319573600149918,46.128470966612056,11.278207739883385,0.8553869062352869,2.9959458261493905,1.6445590753571895,1.351386750792201,1.9452188336073257,0.01298819838746029,64.9109606568532,18.060980656058746,0.8811004304525284,4.092796185656365,2.0446323817264913,2.0481638039298735,2.9481766070162108,0.589425236952779,0.5126277493959324,0.07679748755684646,0.11054416441609316,1.7227483971961002,0.6436847380393109,1.0790636591567895,1.553230377034962,2.312173634148879,1.1563124874352433,1.155861146713636,1.6637745414510552,0.08365952253359543,0.07354903600113716,0.010110486532458163,63.98718615520199,52.51331001599141,35.9,28.7,20.3,10.4,11.5,1.0999999999999996
