Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/11 17:18:01,0,833,833,360,35,75,0,0
 2019/04/11 17:18:11,0,833,833,360,35,75,0,0
 2019/04/11 17:18:21,0,833,833,360,35,75,0,0
 2019/04/11 17:18:31,0,833,833,360,35,75,0,0
 2019/04/11 17:18:42,0,833,833,360,35,75,0,0
 2019/04/11 17:18:52,0,833,833,360,35,75,0,0
 2019/04/11 17:19:02,0,833,833,360,35,75,0,0
 2019/04/11 17:19:12,0,833,833,360,35,75,0,0
 2019/04/11 17:19:22,0,833,833,360,35,75,0,0
 2019/04/11 17:19:33,0,833,833,360,35,75,0,0
 2019/04/11 17:19:43,0,833,833,360,35,75,0,0
 2019/04/11 17:19:53,0,833,833,360,35,75,0,0
 2019/04/11 17:20:03,0,833,833,360,35,75,0,0
 2019/04/11 17:20:14,0,833,833,360,35,75,0,0
 2019/04/11 17:20:24,0,833,833,360,35,75,0,0
 2019/04/11 17:20:34,0,833,833,360,35,75,0,0
 2019/04/11 17:20:44,0,833,833,360,35,75,0,0
 2019/04/11 17:20:54,0,833,833,360,35,75,0,0
 2019/04/11 17:21:05,0,833,833,360,35,75,0,0
 2019/04/11 17:21:15,0,833,833,360,35,75,0,0
 2019/04/11 17:21:25,0,833,833,360,35,75,0,0
 2019/04/11 17:21:35,0,833,833,360,35,75,0,0
 2019/04/11 17:21:46,0,833,833,360,35,75,0,0
 2019/04/11 17:21:56,0,833,833,360,35,75,0,0
 2019/04/11 17:22:06,0,833,833,360,35,75,0,0
 2019/04/11 17:22:16,0,833,833,360,35,75,0,0
 2019/04/11 17:22:27,0,833,833,360,35,75,0,0
 2019/04/11 17:22:37,0,833,833,360,35,75,0,0
 2019/04/11 17:22:47,0,833,833,360,35,75,0,0
 2019/04/11 17:22:57,0,833,833,360,35,75,0,0
 2019/04/11 17:23:07,0,833,833,360,35,75,0,0
 2019/04/11 17:23:18,0,833,833,360,35,75,0,0
 2019/04/11 17:23:28,0,833,833,360,35,75,0,0
 2019/04/11 17:23:38,0,833,833,360,35,75,0,0
 2019/04/11 17:23:48,0,833,833,360,35,75,0,0
 2019/04/11 17:23:59,0,833,833,360,35,75,0,0
 2019/04/11 17:24:09,0,833,833,360,35,75,0,0
 2019/04/11 17:24:19,0,833,833,360,35,75,0,0
 2019/04/11 17:24:29,0,833,833,360,35,75,0,0
 2019/04/11 17:24:40,0,833,833,360,35,75,0,0
 2019/04/11 17:24:50,0,833,833,360,35,75,0,0
 2019/04/11 17:25:00,0,833,833,360,35,75,0,0
 2019/04/11 17:25:10,0,833,833,360,35,75,0,0
 2019/04/11 17:25:20,0,833,833,360,35,75,0,0
 2019/04/11 17:25:31,0,833,833,360,35,75,0,0
 2019/04/11 17:25:41,0,833,833,360,35,75,0,0
 2019/04/11 17:25:51,0,833,833,360,35,75,0,0
 2019/04/11 17:26:01,0,833,833,360,35,75,0,0
 2019/04/11 17:26:12,0,833,833,360,35,75,0,0
 2019/04/11 17:26:22,0,833,833,360,35,75,0,0
 2019/04/11 17:26:32,0,833,833,360,35,75,0,0
 2019/04/11 17:26:42,0,833,833,360,35,75,0,0
 2019/04/11 17:26:52,0,833,833,360,35,75,0,0
 2019/04/11 17:27:03,0,833,833,360,35,75,0,0
 2019/04/11 17:27:13,0,833,833,360,35,75,0,0
 2019/04/11 17:27:23,0,833,833,360,35,75,0,0
 2019/04/11 17:27:33,0,833,833,360,35,75,0,0
 2019/04/11 17:27:44,0,833,833,360,35,75,0,0
 2019/04/11 17:27:54,0,833,833,360,35,75,0,0
 2019/04/11 17:28:04,0,833,833,360,35,75,0,0
 2019/04/11 17:28:14,0,833,833,360,35,75,0,0
 2019/04/11 17:28:25,0,833,833,360,35,75,0,0
 2019/04/11 17:28:35,0,833,833,360,35,75,0,0
 2019/04/11 17:28:45,0,833,833,360,35,75,0,0
 2019/04/11 17:28:55,0,833,833,360,35,75,0,0
 2019/04/11 17:29:06,0,833,833,360,35,75,0,0
 2019/04/11 17:29:16,0,833,833,360,35,75,0,0
 2019/04/11 17:29:26,0,833,833,360,35,75,0,0
 2019/04/11 17:29:36,0,833,833,360,35,75,0,0
 2019/04/11 17:29:46,0,833,833,360,35,75,0,0
 2019/04/11 17:29:57,0,833,833,360,35,75,0,0
 2019/04/11 17:30:07,0,833,833,360,35,75,0,0
 2019/04/11 17:30:17,0,833,833,360,35,75,0,0
 2019/04/11 17:30:27,0,833,833,360,35,75,0,0
 2019/04/11 17:30:38,0,833,833,360,35,75,0,0
 2019/04/11 17:30:48,0,833,833,360,35,75,0,0
 2019/04/11 17:30:58,0,833,833,360,35,75,0,0
 2019/04/11 17:31:08,0,833,833,360,35,75,0,0
 2019/04/11 17:31:19,0,833,833,360,35,75,0,0
 2019/04/11 17:31:29,0,833,833,360,35,75,0,0
 2019/04/11 17:31:39,0,833,833,360,35,75,0,0
 2019/04/11 17:31:49,0,833,833,360,35,75,0,0
 2019/04/11 17:31:59,0,833,833,360,35,75,0,0
 2019/04/11 17:32:10,0,833,833,360,35,75,0,0
 2019/04/11 17:32:20,0,833,833,360,35,75,0,0
 2019/04/11 17:32:30,0,833,833,360,35,75,0,0
 2019/04/11 17:32:40,0,833,833,360,35,75,0,0
 2019/04/11 17:32:51,0,833,833,360,35,75,0,0
 2019/04/11 17:33:01,0,833,833,360,35,75,0,0
