Date/Time,temp.0,R.hum.0,temp.1,R.hum.1,temp.2,R.hum.2,temp.3,R.hum.3
2019/2/13 12:33,17.6,43.5,0.3,88.8,15,21.5,-2.3,49.7
2019/2/13 12:34,13.1,17.5,-1.7,32.8,13,59.3,-3.4,52.3
2019/2/13 12:35,17.4,44.1,0.2,89,14.9,21.2,-2.9,55.4
2019/2/13 12:36,19.8,36.4,5,60.5,13.3,58.5,-3.6,56.6
2019/2/13 12:37,20.8,33.7,11.6,46.4,14.8,20.2,-3.3,57.6
2019/2/13 12:38,21.3,31.4,17.2,36.5,13.5,58.4,-3.6,57.8
2019/2/13 12:39,21.4,30.8,19.5,33.5,14.6,19,-4,59.6
2019/2/13 12:40,16.6,14.8,2.7,20.9,13.5,58.5,6.4,91.3
2019/2/13 12:41,18.8,36.4,2.5,76.1,14.3,19.3,-1.5,62.8
2019/2/13 12:42,16.5,17.3,0.5,31,13.6,58.3,7.6,91.6
2019/2/13 12:43,19,36.1,2.4,81.5,14.2,19.2,-1.3,52.6
2019/2/13 12:44,14.2,16.1,-0.7,30.7,13.9,56.9,7.8,92.1
2019/2/13 12:45,17.9,40.2,1.6,89.8,14.4,18.5,2.2,54.8
2019/2/13 12:46,12.6,18,-1.4,33.8,14,56.5,5.3,85
2019/2/13 12:47,17.9,42.1,1.7,90.5,13.9,17.9,1.6,52.8
2019/2/13 12:48,12.9,18.5,-1,34.1,14,57.2,6.5,87.7
2019/2/13 12:49,18.1,43,1.7,91.4,13.7,18.2,1.4,51.1
2019/2/13 12:50,18.6,23.3,3.2,31.3,14.1,56.9,7.3,89.4
2019/2/13 12:51,20.1,35.4,6.4,64.6,12.2,19.9,1.8,45.8
2019/2/13 12:52,20.8,32.8,13.6,42.4,4.7,28,8.4,90.7
2019/2/13 12:53,21,31.4,17.7,35.7,1.1,35.8,1.2,42.2
2019/2/13 12:54,21,31.2,19.4,33.9,-0.4,43,9.1,91.5
2019/2/13 12:55,21,31.3,20.3,33.5,-1.1,46.5,0.7,42.2
2019/2/13 12:56,20.9,31.2,20.8,32.5,-1.4,48.8,9.7,92.4
2019/2/13 12:57,21.1,30.8,21,32.1,-1.6,49.8,1.7,41.5
2019/2/13 12:58,20.7,31.1,21.2,32.1,-2.1,50.9,10.8,93.1
2019/2/13 12:59,14.1,15.9,0.3,27.3,10.8,91.6,0.9,42.7
2019/2/13 13:00,19.8,35,5.4,67.6,7.4,29.7,11,93.5
2019/2/13 13:01,10.9,18.8,-2.3,37.6,13.9,61.2,0.6,42.5
2019/2/13 13:02,19,36.7,3.9,76.1,8.5,23.7,11.6,93.6
2019/2/13 13:03,9.3,19,-2.6,40.5,14.6,56.7,-0.7,45.4
2019/2/13 13:04,17.1,42.9,1.1,91.9,13.1,20.4,11.4,93.6
2019/2/13 13:05,10.1,20.6,-2.3,39.8,13.5,57.6,0.1,45.7
2019/2/13 13:06,17.9,41.5,2.1,91.1,12,21.1,10.8,92.6
2019/2/13 13:07,10.1,19.1,-1.9,37.6,13.9,58.9,-0.2,49.1
2019/2/13 13:08,19,40.4,2.5,93,11.7,21.8,8.8,91.2
2019/2/13 13:09,10.5,18.4,-2.7,37.4,14.9,55,0.4,55.4
2019/2/13 13:10,20.5,38.1,3,91,12.1,20.1,7,83.3
2019/2/13 13:11,16.7,18.3,0,33.1,16.6,51.7,0.8,61.2
2019/2/13 13:12,23.9,31,6.4,62.3,12.6,18.1,5.8,81.2
2019/2/13 13:13,12.1,15.8,-2.1,32,17.9,47.9,1.8,67.5
2019/2/13 13:14,24.4,31,5.1,69.1,12.7,18.1,4.7,77.1
2019/2/13 13:15,12.8,19.1,-2,37.1,18.7,45.7,3.1,72.3
2019/2/13 13:16,24.1,29,4.6,65.8,12.5,18.4,4.5,71.2
2019/2/13 13:17,14.3,27.2,-1.3,46.6,19.7,42.6,4.1,76.7
2019/2/13 13:18,23.5,24.4,3.7,55.5,12.2,19.2,3.4,59.3
2019/2/13 13:19,16.1,30.7,-1.5,51.9,20.2,42.5,4.6,78.6
