Date/Time,temp.0,R.hum.0,temp.1,R.hum.1,temp.2,R.hum.2,temp.3,R.hum.3,A.hum0,Enthalpy0,DewPoint0,SpecificVolume0,THCapa0,SHCapa0,LHCapa0,WaterMass0,A.hum1,Enthalpy1,DewPoint1,SpecificVolume1,THCapa1,SHCapa1,LHCapa1,WaterMass1,A.hum2,Enthalpy2,DewPoint2,SpecificVolume2,THCapa2,SHCapa2,LHCapa2,WaterMass2,A.hum3,Enthalpy3,DewPoint3,SpecificVolume3,THCapa3,SHCapa3,LHCapa3,WaterMass3,d-TH_0-1,d-SH_0-1,d-LH_0-1,d-W_0-1,d-TH_2-3,d-SH_2-3,d-LH_2-3,d-W_2-3,,,,,,
2019/2/13 11:29,11,26.1,-2.5,37.8,13.2,14,10,93.7,0.002110666,16.38668265,-6.844072252,0.807732318,0.338121147,0.229199431,0.108921715,0.156784556,0.001154161,0.366349137,-13.61427223,0.768177692,0.007948446,-0.054679366,0.062627812,0.09014799,0.001307099,16.57939657,-12.24596323,0.812938003,0.339906949,0.272885568,0.067021381,0.096472199,0.007145351,28.05949623,9.032609011,0.81138305,0.576371752,0.209292302,0.36707945,0.528383055,0.330172701,0.283878797,0.046293903,0.066636566,-0.236464803,0.063593266,-0.30005807,-0.431910856,0.801011456,0.831941428,,,-2.425443338,0.154700555
2019/2/13 11:30,19.4,33.3,2.4,67.5,22.1,30.3,1.5,37.6,0.004641136,31.28639904,2.857823192,0.834982336,0.624492234,0.392801097,0.231691137,0.333501836,0.003024584,9.991987467,-2.647287406,0.784432796,0.212297504,0.051576598,0.160720906,0.231345566,0.004989775,34.91107252,3.874569531,0.843157412,0.690086098,0.443405631,0.246680468,0.355077843,0.00157612,5.455142801,-10.16141834,0.780058645,0.116554117,0.032332341,0.084221776,0.121230865,0.41219473,0.341224499,0.070970231,0.10215627,0.573531981,0.411073289,0.162458692,0.233846978,,,,,,
2019/2/13 11:31,11.4,29.4,-1.6,41.7,17.9,12.2,10.2,94,0.002442793,17.62809127,-5.154090951,0.809299839,0.36303173,0.237214623,0.125817108,0.181104194,0.00137323,1.820881954,-11.699351,0.771003098,0.039361752,-0.034880229,0.074241981,0.106865706,0.001540311,21.90948401,-10.41911952,0.826590316,0.441764269,0.364089407,0.077674862,0.111807079,0.007266256,28.56788484,9.278490098,0.812112206,0.58628772,0.213332159,0.372955561,0.536841271,0.323669979,0.272094852,0.051575127,0.074238487,-0.144523451,0.150757248,-0.295280699,-0.425034192,0.858467276,0.848567784,,,-3.705155581,0.439247137
2019/2/13 11:32,19.1,31.8,3.1,64.5,18.6,41.1,1.6,35.7,0.004347969,30.23876886,1.94860227,0.833735834,0.604483411,0.387102997,0.217380414,0.312902635,0.003037594,10.73262049,-2.596476737,0.786441919,0.227451009,0.066451122,0.160999887,0.231747139,0.005456294,32.54097652,5.140103244,0.833782276,0.650469103,0.377692209,0.272776894,0.39264167,0.001507084,5.383170514,-10.66320195,0.780256269,0.114987232,0.034474837,0.080512395,0.115891492,0.377032402,0.320651876,0.056380527,0.081155496,0.535481871,0.343217372,0.192264499,0.276750178,,,,,,
2019/2/13 11:33,12.1,31.4,-1.7,44.8,19.2,13.6,10.6,94.2,0.002733756,19.0694302,-3.838980405,0.811668782,0.391568388,0.251176072,0.140392316,0.202084101,0.001463281,1.944974866,-10.99264604,0.770830513,0.042053664,-0.037074516,0.07912818,0.11389902,0.001863718,24.04094721,-8.267218273,0.830713012,0.482335593,0.388818375,0.093517218,0.13461095,0.007481441,29.51782559,9.707194481,0.813536767,0.60472222,0.221394263,0.383327956,0.551771548,0.349514724,0.288250588,0.061264136,0.088185082,-0.122386626,0.167424112,-0.289810738,-0.417160598,0.892261716,0.864639155,,,-3.696739111,0.572780087
2019/2/13 11:34,19.1,29.4,2.5,59.5,14.4,45.5,0.2,36.3,0.004017701,29.4013817,0.85625622,0.833296189,0.588053846,0.387079498,0.200974347,0.289287345,0.002683707,9.239061524,-4.055735944,0.784289482,0.196336126,0.053702752,0.142633374,0.205309934,0.004617164,26.15393731,2.785433995,0.820680176,0.531143517,0.296632187,0.23451133,0.337561291,0.001384942,3.665441132,-11.60506613,0.776128363,0.07871209,0.004331327,0.074380763,0.107065472,0.391717719,0.333376746,0.058340973,0.083977411,0.452431427,0.29230086,0.160130567,0.230495819,,,,,,
2019/2/13 11:35,12.6,31.8,-0.8,45.5,19.9,34.8,9.8,94.2,0.002861718,19.89784161,-3.300949894,0.813258066,0.407780393,0.261103754,0.146676638,0.211129907,0.00160193,3.199314542,-9.97898272,0.773558223,0.068930699,-0.017389624,0.086320323,0.124251564,0.005006099,32.71947051,3.920602858,0.836896572,0.651603229,0.402264295,0.249338934,0.358904503,0.007087123,27.70905915,8.912862868,0.810734894,0.56962844,0.205249258,0.364379182,0.524496223,0.338849694,0.278493378,0.060356316,0.086878343,0.081974789,0.197015037,-0.115040248,-0.16559172,0.91395825,0.857223279,,,0.348721332,0.830845417
2019/2/13 11:36,19.1,30.2,2.9,65.2,12.7,17.1,1.2,37.1,0.004127751,29.68041261,1.228874785,0.833442686,0.593530368,0.387087331,0.206443036,0.297159109,0.003027275,10.50446195,-2.636760619,0.785859574,0.222780725,0.062208872,0.160571853,0.231131016,0.001545716,16.67746796,-10.37987343,0.811829205,0.342384578,0.26301988,0.079364697,0.114239468,0.001521857,5.016660924,-10.55407754,0.779138778,0.107312096,0.025893897,0.081418199,0.117195329,0.370749642,0.324878459,0.045871183,0.066028093,0.235072482,0.237125984,-0.002053502,-0.002955861,,,,,,
2019/2/13 11:37,12.7,33.5,-1.6,47.5,18,45.3,10.6,94.4,0.003035391,20.4372945,-2.605068187,0.813768796,0.418572912,0.263092372,0.15548054,0.223802457,0.001564711,2.299223671,-10.24293255,0.771239939,0.049686735,-0.034881468,0.084568203,0.121729521,0.00579473,32.78889174,5.99901643,0.832516378,0.656421355,0.366284502,0.290136854,0.417630017,0.007497516,29.55833833,9.7387769,0.813557545,0.605536726,0.22139491,0.384141816,0.552943038,0.368886177,0.29797384,0.070912337,0.102072936,0.050884629,0.144889591,-0.094004962,-0.135313021,0.98305203,0.901021716,,,0.181382627,0.521566914
2019/2/13 11:38,18.4,25.8,2,53.8,15.1,16,1.5,37.2,0.003371218,27.05378051,-1.357509217,0.830441749,0.542959626,0.373744153,0.169215473,0.243572852,0.002340294,7.873523318,-5.65188392,0.782436469,0.167713794,0.04303754,0.124676254,0.17946202,0.001690709,19.46514327,-9.371432645,0.818835701,0.396195542,0.310128985,0.086066557,0.123886287,0.00155931,5.413057314,-10.28171065,0.780037616,0.11565804,0.032332241,0.0833258,0.119941175,0.375245832,0.330706613,0.04453922,0.064110832,0.280537502,0.277796745,0.002740757,0.003945112,,,,,,
