Date/Time,temp.0,R.hum.0,temp.1,R.hum.1,temp.2,R.hum.2,temp.3,R.hum.3,A.hum0,Enthalpy0,DewPoint0,SpecificVolume0,THCapa0,SHCapa0,LHCapa0,WaterMass0,A.hum1,Enthalpy1,DewPoint1,SpecificVolume1,THCapa1,SHCapa1,LHCapa1,WaterMass1,A.hum2,Enthalpy2,DewPoint2,SpecificVolume2,THCapa2,SHCapa2,LHCapa2,WaterMass2,A.hum3,Enthalpy3,DewPoint3,SpecificVolume3,THCapa3,SHCapa3,LHCapa3,WaterMass3,d-TH_0-1,d-SH_0-1,d-LH_0-1,d-W_0-1,d-TH_2-3,d-SH_2-3,d-LH_2-3,d-W_2-3
2019-02-13 11:19:00,20.5,40.1,4.2,93.7,15.1,16.0,1.5,37.2,0.005996057845810787,35.841009802812394,6.488929831932978,0.8399341816179606,0.711186872082684,0.413621082592572,0.29756578949011203,0.42832340750276027,0.0047820394779296005,16.221333375584116,3.276697171772639,0.7917772210721314,0.34145407200986616,0.08970226573563683,0.25175180627422933,0.3623776499749002,0.0016907085826707682,19.465143273034574,-9.371432644557181,0.8188357014274655,0.3961955420177952,0.31012898520043103,0.08606655681736419,0.12388628730208354,0.0015593104681012608,5.4130573138136375,-10.281710652342944,0.7800376160643863,0.11565804012385882,0.03233224060670341,0.08332579951715541,0.11994117483476988,0.3697328000728179,0.3239188168569352,0.0458139832158827,0.06594575752786008,0.2805375018939364,0.2777967445937276,0.002740757300208785,0.003945112467313661
2019-02-13 11:20:00,13.7,16.6,-0.5,31.3,15.5,51.1,10.8,94.5,0.0016019569563755374,17.828308340490953,-9.978795843246274,0.81474274142396,0.36470220258997893,0.28274393232475586,0.08195827026522307,0.11797272009388364,0.0011288273115004144,2.319178339413907,-13.85685595665344,0.7738227695393531,0.049950678430636955,-0.010855602998704408,0.060806281429341365,0.08752603484431384,0.005574781785146019,29.691497702044117,5.446093469362381,0.8250786768892137,0.599771038684248,0.3181306401140659,0.2816403985701821,0.40540001393548797,0.007607478703718174,30.03940442784944,9.953200780695852,0.8142731990893777,0.6148510610739177,0.2254177959388919,0.38943326513502585,0.5605596779232677,0.314751524159342,0.2935995353234603,0.0211519888358817,0.030446685249569796,-0.015080022389669767,0.09271284417517398,-0.10779286656484377,-0.1551596639877797
2019-02-13 11:21:00,17.9,43.1,1.3,88.7,17.4,16.1,0.3,34.8,0.005475936848975475,31.879642840909632,5.191237141443025,0.8318078099020865,0.6387621928488152,0.36435349137846473,0.27440870147035046,0.3949905339037432,0.0036774452419827755,10.513719675459235,-0.3158746306612912,0.7821174672728787,0.22404391742924354,0.02805267282612707,0.19599124460311645,0.2821145464099237,0.0019709512350255293,22.495650704237296,-7.629171874742049,0.8257402246598647,0.45405019707224115,0.3545566579908001,0.09949353908144104,0.1432134109129099,0.001337275049406649,3.647049033005283,-11.993462698018952,0.7763529234378489,0.07829448272175424,0.006494557765034988,0.07179992495671925,0.10335055171698893,0.4147182754195716,0.3363008185523377,0.078417456867234,0.1128759874938195,0.37575571435048694,0.3480621002257651,0.027693614124721794,0.039862859195920974
2019-02-13 11:22:00,16.6,17.8,1.4,29.7,12.5,44.3,10.4,94.5,0.002071625643454412,21.94280785343431,-7.0585286612668625,0.823599501390928,0.44404284316135884,0.3391954481688216,0.10484739499253726,0.15091988083691896,0.0012353834897627038,4.501215921975152,-12.8681925047906,0.7793485168164502,0.09626022728920017,0.03018593486785039,0.06607429242134978,0.09510893751173899,0.003967525979364842,22.58729977930089,0.6833364841720027,0.8144122409520399,0.46224132864408973,0.2591749949244526,0.20306633371963712,0.2922986011158312,0.007404852591279315,29.120940223633063,9.555889980134225,0.8128644323542774,0.5970848082521147,0.21736719906538687,0.37971760918672787,0.5465747273379528,0.34778261587215864,0.3090095133009712,0.038773102571187476,0.05581094332517997,-0.134843479608025,0.041807795859065744,-0.17665127546709075,-0.25427612622212153
2019-02-13 11:23:00,13.6,40.9,-1.5,61.0,18.6,41.5,1.5,36.9,0.0039360597126895,23.62230773526354,0.5738935225639921,0.8175073349200673,0.48159216694924695,0.2808990575229167,0.20069310942633023,0.28888252456408986,0.0020277311489871217,3.556865521530909,-7.304128765408308,0.7720968679483431,0.0767793452951571,-0.03269214319593228,0.10947148849108938,0.1575759130619439,0.005509867457692455,32.676761291845935,5.279181840194667,0.8338534687108494,0.653127568131859,0.3776959119962153,0.2754316561356437,0.39646299963547293,0.0015467041126839666,5.381494687207692,-10.372709209842,0.7800218454113017,0.11498598231288543,0.032332165017489464,0.08265381729539596,0.11897390734243324,0.4048128216540898,0.313591200718849,0.09122162093524085,0.13130661150214595,0.5381415858189735,0.34536374697872585,0.19277783884024774,0.2774890922930397
2019-02-13 11:24:00,20.4,36.8,5.3,68.7,12.4,16.7,11.6,94.7,0.005464122194242116,34.38936951523591,5.160500470516581,0.8389369001350995,0.6831934064349371,0.41170358788007233,0.27148981855486476,0.39078902310976144,0.003780318615048015,14.82254127426594,0.020426741304220286,0.7936469954754686,0.31127485642794833,0.11272779226014594,0.19854706416780238,0.2857934550196276,0.001479957628158744,16.20889843965847,-10.8661662976235,0.8108916600018692,0.3331496926815334,0.257073479080313,0.07607621360122035,0.10950594520767419,0.008044873956357862,31.958273335749233,10.77955199393989,0.8171346375464782,0.6518361411388068,0.24145436641145282,0.41038177472735404,0.5907134702193021,0.37191855000698876,0.2989757956199264,0.07294275438706238,0.10499556809013383,-0.31868644845727345,0.015619112668860208,-0.3343055611261337,-0.4812075250116279
2019-02-13 11:25:00,10.8,20.8,-1.2,34.9,16.7,48.6,0.2,34.9,0.0016586287826765998,15.045363894963675,-9.587515244591621,0.8065791418401731,0.3108883578912949,0.22517181398608513,0.08571654390520975,0.12338247023540787,0.0011878393875987417,1.761013448270914,-13.299245815325335,0.7719091603701894,0.03802289912426081,-0.02612079508451833,0.06414369420877913,0.09232998766557572,0.0057256419812805855,31.292621484245476,5.82738635737968,0.8287079352944894,0.6293455983606042,0.3413504759677744,0.2879951223928298,0.4145471573827218,0.001331414392444109,3.531548036098389,-12.042089600936507,0.7760617160355118,0.0758433675038801,0.004331284407507173,0.07151208309637293,0.10293622516870951,0.27286545876703405,0.25129260907060347,0.021572849696430613,0.031052482569832146,0.5535022308567241,0.3370191915602672,0.2164830392964569,0.31161093221401226
2019-02-13 11:26:00,20.0,37.3,4.3,76.3,12.4,16.6,10.8,94.7,0.005402499363354113,33.82668113476572,4.999215401382628,0.837711456280904,0.672997861836229,0.404177159782588,0.268820702053641,0.3869470321443853,0.003916026945289598,14.150177633305148,0.5038096652981494,0.7909682668691265,0.29816151136116387,0.09179032892556066,0.2063711824356032,0.2970556804350946,0.0014710746464418013,16.186483283487608,-10.93337193470856,0.8108801062919198,0.3326937229045058,0.2570730554716141,0.0756206674328917,0.10885022101495798,0.007623776535720381,30.080483015624004,9.984744961000501,0.8142942781977981,0.6156759257885316,0.2254184634610293,0.39025746232750225,0.5617460473326703,0.37483635047506514,0.31238683085702734,0.062449519618037796,0.08989135170929069,-0.2829822028840258,0.031654592010584764,-0.31463679489461055,-0.4528958263177123
2019-02-13 11:27:00,11.1,23.0,-2.2,36.0,17.3,47.9,0.3,36.8,0.0018716568949766065,15.885113476055796,-8.218839408050727,0.8077071271151104,0.32778204175715475,0.23119146378665362,0.09659057797050113,0.13903481835018158,0.0011271351045862542,0.6012890430699098,-13.873237045990884,0.7689958187860612,0.013031909675380425,-0.04806432404710907,0.0610962337224895,0.08794339920070457,0.0058632744942060935,32.25093905100277,6.167496681080593,0.8306054752284963,0.6471371389674234,0.352892961128853,0.29424417783857043,0.42354219920785835,0.00141430469570231,3.8397418899441997,-11.371883824591436,0.7764488671149873,0.08242100784243825,0.00649465059897101,0.07592635724346723,0.10929023833525874,0.3147501320817743,0.2792557878337627,0.035494344248011636,0.05109141914947701,0.5647161311249852,0.34639831052988196,0.21831782059510318,0.3142519608725996
2019-02-13 11:28:00,19.6,34.4,3.2,73.1,12.2,16.1,11.2,94.8,0.0048561112462700996,32.03453373059207,3.4924935045660845,0.8358398256696222,0.6387693899152671,0.3965951149339809,0.2421742749812862,0.34859151936530586,0.0034694684778141098,11.916380312940943,-1.0141391929983499,0.7872702259941711,0.2522721322252649,0.06857534518166485,0.18369678704360004,0.264417606300264,0.0014079719086435142,15.825542692917667,-11.421797867487264,0.8102301461354748,0.3255359556047168,0.25310102748968216,0.07243492811503466,0.10426459064939017,0.007840169469529147,31.033960709288397,10.397951012418105,0.8157216436439888,0.6340798757987589,0.23344762589509435,0.40063224990366453,0.5766797679540955,0.3864972576900022,0.32801976975231606,0.058477487937686146,0.08417391306504185,-0.3085439201940421,0.01965340159458781,-0.32819732178862987,-0.4724151773047053
