Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/15 11:15:26,1556,333,333,360,35,50,68,0
 2019/04/15 11:15:36,1758,333,333,360,35,50,68,0
 2019/04/15 11:15:46,1469,333,333,360,35,50,68,0
 2019/04/15 11:15:56,1758,333,333,360,35,50,68,0
 2019/04/15 11:16:07,1643,333,333,360,30,50,68,0
 2019/04/15 11:16:17,1440,333,333,360,27,50,68,0
 2019/04/15 11:16:27,1556,333,333,360,27,50,68,0
 2019/04/15 11:16:37,1556,333,333,360,24,50,68,0
 2019/04/15 11:16:48,1556,333,333,360,35,50,68,0
 2019/04/15 11:16:58,1353,333,333,360,35,50,68,0
 2019/04/15 11:17:08,1671,333,333,360,35,50,68,0
 2019/04/15 11:17:18,1556,333,333,360,35,50,68,0
 2019/04/15 11:17:29,1556,333,333,360,35,50,68,0
 2019/04/15 11:17:39,1556,333,333,360,35,50,68,0
 2019/04/15 11:17:49,1556,333,333,360,35,50,68,0
 2019/04/15 11:17:59,1556,333,333,360,35,50,68,0
 2019/04/15 11:18:10,1556,333,333,360,35,50,68,0
 2019/04/15 11:18:20,1556,333,333,360,30,50,68,0
 2019/04/15 11:18:30,1556,333,333,360,27,50,68,0
 2019/04/15 11:18:40,1324,333,333,360,27,50,68,0
 2019/04/15 11:18:51,1440,333,333,360,24,50,68,0
 2019/04/15 11:19:01,1671,333,333,360,21,50,68,0
 2019/04/15 11:19:11,1556,333,333,360,21,50,68,0
 2019/04/15 11:19:21,1556,333,333,360,35,50,68,0
 2019/04/15 11:19:32,1440,333,333,360,35,50,68,0
 2019/04/15 11:19:42,1440,333,333,360,35,50,68,0
 2019/04/15 11:19:52,1643,333,333,360,35,50,68,0
 2019/04/15 11:20:02,1527,333,333,360,35,50,68,0
 2019/04/15 11:20:13,1729,333,333,360,35,50,68,0
 2019/04/15 11:20:23,1614,333,333,360,35,50,68,0
 2019/04/15 11:20:33,1411,333,333,360,35,50,68,0
 2019/04/15 11:20:43,1700,333,333,360,35,50,68,0
 2019/04/15 11:20:54,1643,333,333,360,35,50,68,0
 2019/04/15 11:21:04,1643,333,333,360,35,50,68,0
 2019/04/15 11:21:14,1643,333,333,360,35,50,68,0
 2019/04/15 11:21:24,1440,333,333,360,27,50,68,0
 2019/04/15 11:21:35,1556,333,333,360,24,50,68,0
 2019/04/15 11:21:45,1556,333,333,360,21,50,68,0
 2019/04/15 11:21:55,1556,333,333,360,21,50,68,0
 2019/04/15 11:22:05,1324,333,333,360,20,50,68,0
 2019/04/15 11:22:16,1440,333,333,360,20,50,68,0
 2019/04/15 11:22:26,1440,333,333,360,20,50,68,0
 2019/04/15 11:22:36,1440,333,333,360,35,50,68,0
 2019/04/15 11:22:46,1440,333,333,360,35,50,68,0
 2019/04/15 11:22:57,1440,333,333,360,35,50,68,0
 2019/04/15 11:23:07,1643,333,333,360,35,50,68,0
 2019/04/15 11:23:17,1758,333,333,360,35,50,68,0
 2019/04/15 11:23:27,1643,333,333,360,35,50,68,0
 2019/04/15 11:23:38,1411,333,333,360,35,50,68,0
 2019/04/15 11:23:48,1700,333,333,360,35,50,68,0
 2019/04/15 11:23:58,1643,333,333,360,35,50,68,0
 2019/04/15 11:24:08,1643,333,333,360,29,50,68,0
 2019/04/15 11:24:19,1643,333,333,360,26,50,68,0
 2019/04/15 11:24:29,1643,333,333,360,26,50,68,0
 2019/04/15 11:24:39,1440,333,333,360,23,50,68,0
 2019/04/15 11:24:49,1353,333,333,360,20,50,68,0
 2019/04/15 11:25:00,1469,333,333,360,20,50,68,0
 2019/04/15 11:25:10,1469,333,333,360,20,50,68,0
 2019/04/15 11:25:20,1440,333,333,360,35,50,68,0
 2019/04/15 11:25:31,1440,333,333,360,35,50,68,0
 2019/04/15 11:25:41,1440,333,333,360,35,50,68,0
 2019/04/15 11:25:51,1643,333,333,360,35,50,68,0
 2019/04/15 11:26:01,1758,333,333,360,35,50,68,0
 2019/04/15 11:26:11,1643,333,333,360,35,50,68,0
 2019/04/15 11:26:22,1643,333,333,360,35,50,68,0
 2019/04/15 11:26:32,1643,333,333,360,35,50,68,0
 2019/04/15 11:26:42,1643,333,333,360,35,50,68,0
 2019/04/15 11:26:52,1643,333,333,360,28,50,68,0
 2019/04/15 11:27:03,1440,333,333,360,25,50,68,0
 2019/04/15 11:27:13,1556,333,333,360,25,50,68,0
 2019/04/15 11:27:23,1556,333,333,360,22,50,68,0
 2019/04/15 11:27:33,1353,333,333,360,20,50,68,0
 2019/04/15 11:27:44,1469,333,333,360,20,50,68,0
 2019/04/15 11:27:54,1469,333,333,360,20,50,68,0
 2019/04/15 11:28:04,1440,333,333,360,35,50,68,0
 2019/04/15 11:28:14,1295,333,333,360,35,50,68,0
 2019/04/15 11:28:25,1556,333,333,360,35,50,68,0
 2019/04/15 11:28:35,1440,333,333,360,35,50,68,0
 2019/04/15 11:28:45,1643,333,333,360,35,50,68,0
 2019/04/15 11:28:55,1758,333,333,360,35,50,68,0
 2019/04/15 11:29:06,1643,333,333,360,35,50,68,0
 2019/04/15 11:29:16,1614,333,333,360,28,50,68,0
 2019/04/15 11:29:26,1643,333,333,360,28,50,68,0
 2019/04/15 11:29:36,1411,333,333,360,25,50,68,0
 2019/04/15 11:29:47,1527,333,333,360,22,50,68,0
 2019/04/15 11:29:57,1556,333,333,360,22,50,68,0
