Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/11 10:29:03,2453,500,500,360,26,50,68,0
 2019/04/11 10:29:14,2453,500,500,360,25,50,68,0
 2019/04/11 10:29:24,2221,500,500,360,23,50,68,0
 2019/04/11 10:29:34,2221,500,500,360,23,50,68,0
 2019/04/11 10:29:44,2221,500,500,360,35,50,68,0
 2019/04/11 10:29:55,2221,500,500,360,35,50,68,0
 2019/04/11 10:30:05,2337,500,500,360,35,50,68,0
 2019/04/11 10:30:15,2453,500,500,360,35,50,68,0
 2019/04/11 10:30:25,2713,500,500,360,35,50,68,0
 2019/04/11 10:30:35,2713,500,500,360,35,50,68,0
 2019/04/11 10:30:46,2713,500,500,360,35,50,68,0
 2019/04/11 10:30:56,2713,500,500,360,30,50,68,0
 2019/04/11 10:31:06,2713,500,500,360,29,50,68,0
 2019/04/11 10:31:17,2713,500,500,360,29,50,68,0
 2019/04/11 10:31:27,2598,500,500,360,27,50,68,0
 2019/04/11 10:31:37,2598,500,500,360,26,50,68,0
 2019/04/11 10:31:47,2598,500,500,360,26,50,68,0
 2019/04/11 10:31:58,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:08,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:18,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:28,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:39,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:49,2598,500,500,360,35,50,68,0
 2019/04/11 10:32:59,2598,500,500,360,35,50,68,0
 2019/04/11 10:33:09,2713,500,500,360,35,50,68,0
 2019/04/11 10:33:20,2713,500,500,360,35,50,68,0
 2019/04/11 10:33:30,2713,500,500,360,35,50,68,0
 2019/04/11 10:33:40,2713,500,500,360,30,50,68,0
 2019/04/11 10:33:50,2713,500,500,360,29,50,68,0
 2019/04/11 10:34:00,2598,500,500,360,29,50,68,0
 2019/04/11 10:34:11,2598,500,500,360,27,50,68,0
 2019/04/11 10:34:21,2453,500,500,360,35,50,68,0
 2019/04/11 10:34:31,2453,500,500,360,35,50,68,0
 2019/04/11 10:34:42,2453,500,500,360,35,50,68,0
 2019/04/11 10:34:52,2453,500,500,360,35,50,68,0
 2019/04/11 10:35:02,2598,500,500,360,35,50,68,0
 2019/04/11 10:35:12,2598,500,500,360,35,50,68,0
 2019/04/11 10:35:22,2598,500,500,360,35,50,68,0
 2019/04/11 10:35:33,2598,500,500,360,35,50,68,0
 2019/04/11 10:35:43,2713,500,500,360,35,50,68,0
 2019/04/11 10:35:53,2598,500,500,360,35,50,68,0
 2019/04/11 10:36:03,2598,500,500,360,35,50,68,0
 2019/04/11 10:36:14,2713,500,500,360,35,50,68,0
 2019/04/11 10:36:24,2598,500,500,360,29,50,68,0
 2019/04/11 10:36:34,2598,500,500,360,29,50,68,0
 2019/04/11 10:36:44,2453,500,500,360,28,50,68,0
 2019/04/11 10:36:55,2453,500,500,360,26,50,68,0
 2019/04/11 10:37:05,2453,500,500,360,26,50,68,0
 2019/04/11 10:37:15,2453,500,500,360,35,50,68,0
 2019/04/11 10:37:26,2453,500,500,360,35,50,68,0
 2019/04/11 10:37:36,2453,500,500,360,35,50,68,0
 2019/04/11 10:37:46,2598,500,500,360,35,50,68,0
 2019/04/11 10:37:56,2598,500,500,360,35,50,68,0
 2019/04/11 10:38:07,2713,500,500,360,35,50,68,0
 2019/04/11 10:38:17,2713,500,500,360,35,50,68,0
 2019/04/11 10:38:27,2598,500,500,360,35,50,68,0
 2019/04/11 10:38:37,2598,500,500,360,35,50,68,0
 2019/04/11 10:38:48,2598,500,500,360,35,50,68,0
 2019/04/11 10:38:58,2598,500,500,360,35,50,68,0
 2019/04/11 10:39:08,2598,500,500,360,35,50,68,0
 2019/04/11 10:39:19,2598,500,500,360,35,50,68,0
 2019/04/11 10:39:29,2598,500,500,360,35,50,68,0
 2019/04/11 10:39:39,2598,500,500,360,35,50,68,0
 2019/04/11 10:39:49,2598,500,500,360,35,50,68,0
 2019/04/11 10:40:00,2453,500,500,360,35,50,68,0
 2019/04/11 10:40:10,2453,500,500,360,35,50,68,0
 2019/04/11 10:40:20,2453,500,500,360,35,50,68,0
 2019/04/11 10:40:30,2598,500,500,360,35,50,68,0
 2019/04/11 10:40:41,2598,500,500,360,35,50,68,0
 2019/04/11 10:40:51,2598,500,500,360,35,50,68,0
 2019/04/11 10:41:01,2598,500,500,360,35,50,68,0
 2019/04/11 10:41:12,2598,500,500,360,35,50,68,0
 2019/04/11 10:41:22,2598,500,500,360,35,50,68,0
 2019/04/11 10:41:32,2598,500,500,360,35,50,68,0
 2019/04/11 10:41:42,2598,500,500,360,35,50,68,0
 2019/04/11 10:41:52,2598,500,500,360,35,50,68,0
 2019/04/11 10:42:03,2598,500,500,360,35,50,68,0
 2019/04/11 10:42:13,2598,500,500,360,35,50,68,0
 2019/04/11 10:42:23,2598,500,500,360,35,50,68,0
 2019/04/11 10:42:33,2598,500,500,360,35,50,68,0
 2019/04/11 10:42:44,2598,500,500,360,35,50,68,0
 2019/04/11 10:42:54,2598,500,500,360,35,50,68,0
 2019/04/11 10:43:04,2598,500,500,360,35,50,68,0
 2019/04/11 10:43:14,2598,500,500,360,35,50,68,0
 2019/04/11 10:43:25,2598,500,500,360,35,50,68,0
 2019/04/11 10:43:35,2598,500,500,360,35,50,68,0
 2019/04/11 10:43:45,2598,500,500,360,35,50,68,0
 2019/04/11 10:43:55,2598,500,500,360,35,50,68,0
 2019/04/11 10:44:06,2598,500,500,360,35,50,68,0
 2019/04/11 10:44:16,2598,500,500,360,35,50,68,0
 2019/04/11 10:44:26,2598,500,500,360,35,50,68,0
 2019/04/11 10:44:36,2598,500,500,360,35,50,68,0
 2019/04/11 10:44:47,2598,500,500,360,35,50,68,0
 2019/04/11 10:44:57,2598,500,500,360,35,50,68,0
 2019/04/11 10:45:07,2598,500,500,360,35,50,68,0
 2019/04/11 10:45:17,2598,500,500,360,35,50,68,0
 2019/04/11 10:45:27,2598,500,500,360,35,50,68,0
 2019/04/11 10:45:38,2598,500,500,360,35,50,68,0
