Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/10 10:29:47,3379,833,833,360,35,50,68,0
 2019/04/10 10:29:57,3379,833,833,360,35,50,68,0
 2019/04/10 10:30:07,3379,833,833,360,35,50,68,0
 2019/04/10 10:30:17,3379,833,833,360,35,50,68,0
 2019/04/10 10:30:28,3379,833,833,360,35,50,68,0
 2019/04/10 10:30:38,3379,833,833,360,35,50,68,0
 2019/04/10 10:30:48,3379,833,833,360,35,50,68,0
 2019/04/10 10:30:58,3379,833,833,360,35,50,68,0
 2019/04/10 10:31:09,3379,833,833,360,35,50,68,0
 2019/04/10 10:31:19,3379,833,833,360,35,50,68,0
 2019/04/10 10:31:29,3379,833,833,360,35,50,68,0
 2019/04/10 10:31:39,3379,833,833,360,35,50,68,0
 2019/04/10 10:31:49,3379,833,833,360,35,50,68,0
 2019/04/10 10:32:00,3379,833,833,360,35,50,68,0
 2019/04/10 10:32:10,3379,833,833,360,35,50,68,0
 2019/04/10 10:32:20,3379,833,833,360,35,50,68,0
 2019/04/10 10:32:30,3379,833,833,360,35,50,68,0
 2019/04/10 10:32:41,3379,833,833,360,35,50,68,0
 2019/04/10 10:32:51,3379,833,833,360,35,50,68,0
 2019/04/10 10:33:01,3379,833,833,360,35,50,68,0
 2019/04/10 10:33:11,3379,833,833,360,35,50,68,0
 2019/04/10 10:33:22,3379,833,833,360,35,50,68,0
 2019/04/10 10:33:32,3379,833,833,360,35,50,68,0
 2019/04/10 10:33:42,3379,833,833,360,35,50,68,0
 2019/04/10 10:33:52,3379,833,833,360,35,50,68,0
 2019/04/10 10:34:03,3379,833,833,360,35,50,68,0
 2019/04/10 10:34:13,3379,833,833,360,35,50,68,0
 2019/04/10 10:34:23,3379,833,833,360,35,50,68,0
 2019/04/10 10:34:33,3379,833,833,360,35,50,68,0
 2019/04/10 10:34:44,3379,833,833,360,35,50,68,0
 2019/04/10 10:34:54,3379,833,833,360,35,50,68,0
 2019/04/10 10:35:04,3379,833,833,360,35,50,68,0
 2019/04/10 10:35:14,3379,833,833,360,35,50,68,0
 2019/04/10 10:35:25,3379,833,833,360,35,50,68,0
 2019/04/10 10:35:35,3379,833,833,360,35,50,68,0
 2019/04/10 10:35:45,3379,833,833,360,35,50,68,0
 2019/04/10 10:35:55,3379,833,833,360,35,50,68,0
 2019/04/10 10:36:06,3379,833,833,360,35,50,68,0
 2019/04/10 10:36:16,3379,833,833,360,35,50,68,0
 2019/04/10 10:36:26,3379,833,833,360,35,50,68,0
 2019/04/10 10:36:36,3379,833,833,360,35,50,68,0
 2019/04/10 10:36:47,3379,833,833,360,35,50,68,0
 2019/04/10 10:36:57,3379,833,833,360,35,50,68,0
 2019/04/10 10:37:07,3379,833,833,360,35,50,68,0
 2019/04/10 10:37:17,3379,833,833,360,35,50,68,0
 2019/04/10 10:37:28,3379,833,833,360,35,50,68,0
 2019/04/10 10:37:38,3379,833,833,360,35,50,68,0
 2019/04/10 10:37:48,3379,833,833,360,35,50,68,0
 2019/04/10 10:37:58,3379,833,833,360,35,50,68,0
 2019/04/10 10:38:09,3379,833,833,360,35,50,68,0
 2019/04/10 10:38:19,3379,833,833,360,35,50,68,0
 2019/04/10 10:38:29,3379,833,833,360,35,50,68,0
 2019/04/10 10:38:39,3379,833,833,360,35,50,68,0
 2019/04/10 10:38:49,3379,833,833,360,35,50,68,0
 2019/04/10 10:39:00,3379,833,833,360,35,50,68,0
 2019/04/10 10:39:10,3379,833,833,360,35,50,68,0
 2019/04/10 10:39:20,3379,833,833,360,35,50,68,0
 2019/04/10 10:39:31,3379,833,833,360,35,50,68,0
 2019/04/10 10:39:41,3379,833,833,360,35,50,68,0
 2019/04/10 10:39:51,3379,833,833,360,35,50,68,0
 2019/04/10 10:40:01,3379,833,833,360,35,50,68,0
 2019/04/10 10:40:11,3379,833,833,360,35,50,68,0
 2019/04/10 10:40:22,3379,833,833,360,35,50,68,0
 2019/04/10 10:40:32,3379,833,833,360,35,50,68,0
 2019/04/10 10:40:42,3379,833,833,360,35,50,68,0
 2019/04/10 10:40:52,3379,833,833,360,35,50,68,0
 2019/04/10 10:41:03,3379,833,833,360,35,50,68,0
 2019/04/10 10:41:13,3379,833,833,360,35,50,68,0
 2019/04/10 10:41:23,3379,833,833,360,35,50,68,0
 2019/04/10 10:41:34,3379,833,833,360,35,50,68,0
 2019/04/10 10:41:44,3379,833,833,360,35,50,68,0
 2019/04/10 10:41:54,3379,833,833,360,35,50,68,0
 2019/04/10 10:42:04,3379,833,833,360,35,50,68,0
 2019/04/10 10:42:14,3379,833,833,360,35,50,68,0
 2019/04/10 10:42:25,3379,833,833,360,35,50,68,0
 2019/04/10 10:42:35,3379,833,833,360,35,50,68,0
 2019/04/10 10:42:45,3379,833,833,360,35,50,68,0
 2019/04/10 10:42:55,3379,833,833,360,35,50,68,0
 2019/04/10 10:43:06,3379,833,833,360,35,50,68,0
 2019/04/10 10:43:16,3379,833,833,360,35,50,68,0
 2019/04/10 10:43:26,3379,833,833,360,35,50,68,0
 2019/04/10 10:43:36,3379,833,833,360,35,50,68,0
 2019/04/10 10:43:47,3379,833,833,360,35,50,68,0
 2019/04/10 10:43:57,3379,833,833,360,35,50,68,0
 2019/04/10 10:44:07,3379,833,833,360,35,50,68,0
 2019/04/10 10:44:17,3379,833,833,360,35,50,68,0
 2019/04/10 10:44:28,3379,833,833,360,35,50,68,0
 2019/04/10 10:44:38,3379,833,833,360,35,50,68,0
 2019/04/10 10:44:48,3379,833,833,360,35,50,68,0
 2019/04/10 10:44:58,3379,833,833,360,35,50,68,0
 2019/04/10 10:45:09,3379,833,833,360,35,50,68,0
 2019/04/10 10:45:19,3379,833,833,360,35,50,68,0
 2019/04/10 10:45:29,3379,833,833,360,35,50,68,0
 2019/04/10 10:45:39,3379,833,833,360,35,50,68,0
 2019/04/10 10:45:50,3379,833,833,360,35,50,68,0
 2019/04/10 10:46:00,3379,833,833,360,35,50,68,0
 2019/04/10 10:46:10,3379,833,833,360,35,50,68,0
 2019/04/10 10:46:20,3379,833,833,360,35,50,68,0
 2019/04/10 10:46:31,3379,833,833,360,35,50,68,0
 2019/04/10 10:46:41,3379,833,833,360,35,50,68,0
 2019/04/10 10:46:51,3379,833,833,360,35,50,68,0
 2019/04/10 10:47:01,3379,833,833,360,35,50,68,0
 2019/04/10 10:47:12,3379,833,833,360,35,50,68,0
 2019/04/10 10:47:22,3379,833,833,360,35,50,68,0
 2019/04/10 10:47:32,3379,833,833,360,35,50,68,0
 2019/04/10 10:47:42,3379,833,833,360,35,50,68,0
 2019/04/10 10:47:53,3379,833,833,360,35,50,68,0
 2019/04/10 10:48:03,3379,833,833,360,35,50,68,0
 2019/04/10 10:48:13,3379,833,833,360,35,50,68,0
 2019/04/10 10:48:23,3379,833,833,360,35,50,68,0
 2019/04/10 10:48:33,3379,833,833,360,35,50,68,0
